contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL250417C00100000,AAPL,2025-04-17,100.00,call,105.70,97.17,96.50,72,97.85,105,0,14,2025-04-17,5.76039,0.99179,0.00038,-0.67734,0.00231,0.00269
AAPL250417P00100000,AAPL,2025-04-17,100.00,put,0.01,0.01,0.00,0,0.01,2260,10,6803,2025-04-17,4.24976,-0.00079,0.00006,-0.05940,0.00028,-0.00000
AAPL250417C00110000,AAPL,2025-04-17,110.00,call,86.68,86.92,85.60,105,88.25,1,378,582,2025-04-17,3.54358,1.00000,0.00000,-0.01305,0.00000,0.00301
AAPL250417P00110000,AAPL,2025-04-17,110.00,put,0.01,0.01,0.00,0,0.01,1494,25,11325,2025-04-17,3.68422,-0.00091,0.00008,-0.05859,0.00032,-0.00001
AAPL250417C00115000,AAPL,2025-04-17,115.00,call,81.67,81.92,81.50,74,82.35,63,4,57,2025-04-17,3.33988,1.00000,0.00000,-0.01364,0.00000,0.00315
AAPL250417P00115000,AAPL,2025-04-17,115.00,put,0.01,0.01,0.00,0,0.01,1195,15,4750,2025-04-17,3.41975,-0.00098,0.00009,-0.05815,0.00034,-0.00001
AAPL250417C00116000,AAPL,2025-04-17,116.00,call,79.82,81.30,80.60,55,82.00,105,2,12,2025-04-17,4.98313,0.98465,0.00075,-1.00560,0.00398,0.00309
AAPL250417P00116000,AAPL,2025-04-17,116.00,put,0.00,0.01,0.00,0,0.01,500,0,351,2025-04-17,3.36823,-0.00099,0.00010,-0.05807,0.00034,-0.00001
AAPL250417C00117000,AAPL,2025-04-17,117.00,call,80.44,79.75,78.65,100,80.85,105,7,8,2025-04-17,3.25840,1.00000,0.00000,-0.01388,0.00000,0.00321
AAPL250417P00117000,AAPL,2025-04-17,117.00,put,0.00,0.01,0.00,0,0.01,500,0,151,2025-04-17,3.31701,-0.00101,0.00010,-0.05797,0.00035,-0.00001
AAPL250417C00118000,AAPL,2025-04-17,118.00,call,78.60,79.30,78.45,90,80.15,105,4,5,2025-04-17,4.83953,0.98422,0.00079,-1.00034,0.00408,0.00314
AAPL250417P00118000,AAPL,2025-04-17,118.00,put,0.00,0.01,0.00,0,0.01,500,0,44,2025-04-17,3.26625,-0.00102,0.00010,-0.05788,0.00035,-0.00001
AAPL250417C00119000,AAPL,2025-04-17,119.00,call,87.72,78.33,77.45,81,79.20,100,0,11,2025-04-17,4.83907,0.98286,0.00085,-1.07260,0.00438,0.00316
AAPL250417P00119000,AAPL,2025-04-17,119.00,put,0.00,0.01,0.00,0,0.01,500,0,190,2025-04-17,3.21579,-0.00104,0.00011,-0.05776,0.00036,-0.00001
AAPL250417C00120000,AAPL,2025-04-17,120.00,call,76.82,77.28,76.35,96,78.20,105,62,151,2025-04-17,4.64929,0.98456,0.00081,-0.94410,0.00400,0.00320
AAPL250417P00120000,AAPL,2025-04-17,120.00,put,0.00,0.01,0.00,0,0.01,900,0,2806,2025-04-17,3.16579,-0.00105,0.00011,-0.05766,0.00036,-0.00001
AAPL250417C00121000,AAPL,2025-04-17,121.00,call,75.50,75.95,75.50,78,76.40,66,5,11,2025-04-17,3.09544,1.00000,0.00000,-0.01435,0.00000,0.00331
AAPL250417P00121000,AAPL,2025-04-17,121.00,put,0.00,0.01,0.00,0,0.01,500,0,125,2025-04-17,3.11625,-0.00107,0.00011,-0.05757,0.00037,-0.00001
AAPL250417C00122000,AAPL,2025-04-17,122.00,call,73.31,74.88,74.45,81,75.30,64,4,13,2025-04-17,3.05470,1.00000,0.00000,-0.01447,0.00000,0.00334
AAPL250417P00122000,AAPL,2025-04-17,122.00,put,0.00,0.01,0.00,0,0.02,4,0,93,2025-04-17,3.06701,-0.00109,0.00011,-0.05746,0.00037,-0.00001
AAPL250417C00123000,AAPL,2025-04-17,123.00,call,72.38,74.30,73.40,95,75.20,105,4,17,2025-04-17,4.49000,0.98307,0.00091,-0.98651,0.00433,0.00327
AAPL250417P00123000,AAPL,2025-04-17,123.00,put,0.00,0.01,0.00,0,0.01,21,0,2077,2025-04-17,3.01823,-0.00110,0.00012,-0.05737,0.00038,-0.00001
AAPL250417C00124000,AAPL,2025-04-17,124.00,call,82.72,72.88,72.45,89,73.30,52,0,4,2025-04-17,2.97322,1.00000,0.00000,-0.01471,0.00000,0.00340
AAPL250417P00124000,AAPL,2025-04-17,124.00,put,0.00,0.01,0.00,0,0.02,4,0,359,2025-04-17,2.96976,-0.00112,0.00012,-0.05726,0.00039,-0.00001
AAPL250417C00125000,AAPL,2025-04-17,125.00,call,73.28,71.95,70.80,105,73.10,105,6,144,2025-04-17,2.93248,1.00000,0.00000,-0.01483,0.00000,0.00342
AAPL250417P00125000,AAPL,2025-04-17,125.00,put,0.01,0.01,0.00,0,0.01,751,1,5466,2025-04-17,2.92159,-0.00114,0.00013,-0.05714,0.00039,-0.00001
AAPL250417C00126000,AAPL,2025-04-17,126.00,call,70.19,71.38,70.45,103,72.30,105,4,13,2025-04-17,4.45174,0.97905,0.00110,-1.16999,0.00519,0.00333
AAPL250417P00126000,AAPL,2025-04-17,126.00,put,0.00,0.01,0.00,0,0.01,22,0,824,2025-04-17,2.87388,-0.00116,0.00013,-0.05704,0.00040,-0.00001
AAPL250417C00127000,AAPL,2025-04-17,127.00,call,68.97,70.28,69.45,89,71.10,105,4,12,2025-04-17,4.17461,0.98293,0.00098,-0.92502,0.00436,0.00338
AAPL250417P00127000,AAPL,2025-04-17,127.00,put,0.00,0.01,0.00,0,0.01,3,0,275,2025-04-17,2.82647,-0.00118,0.00013,-0.05693,0.00040,-0.00001
AAPL250417C00128000,AAPL,2025-04-17,128.00,call,68.31,68.93,68.40,98,69.45,70,4,11,2025-04-17,2.81026,1.00000,0.00000,-0.01518,0.00000,0.00351
AAPL250417P00128000,AAPL,2025-04-17,128.00,put,0.00,0.01,0.00,0,0.01,21,0,297,2025-04-17,2.77937,-0.00120,0.00014,-0.05682,0.00041,-0.00001
AAPL250417C00129000,AAPL,2025-04-17,129.00,call,67.10,67.85,66.70,105,69.00,105,4,38,2025-04-17,2.76952,1.00000,0.00000,-0.01530,0.00000,0.00353
AAPL250417P00129000,AAPL,2025-04-17,129.00,put,0.00,0.01,0.00,0,0.02,4,0,280,2025-04-17,2.73272,-0.00122,0.00014,-0.05672,0.00042,-0.00001
AAPL250417C00130000,AAPL,2025-04-17,130.00,call,67.45,66.65,65.45,105,67.85,105,9,205,2025-04-17,2.72878,1.00000,0.00000,-0.01542,0.00000,0.00356
AAPL250417P00130000,AAPL,2025-04-17,130.00,put,0.01,0.01,0.00,0,0.01,6000,20,1744,2025-04-17,2.68623,-0.00124,0.00015,-0.05659,0.00042,-0.00001
AAPL250417C00131000,AAPL,2025-04-17,131.00,call,65.56,65.83,64.70,100,66.95,105,4,15,2025-04-17,2.68804,1.00000,0.00000,-0.01554,0.00000,0.00359
AAPL250417P00131000,AAPL,2025-04-17,131.00,put,0.00,0.01,0.00,0,0.01,21,0,191,2025-04-17,2.64019,-0.00126,0.00015,-0.05649,0.00043,-0.00001
AAPL250417C00132000,AAPL,2025-04-17,132.00,call,64.47,65.15,64.50,81,65.80,105,4,17,2025-04-17,3.51456,0.98835,0.00084,-0.56673,0.00314,0.00355
AAPL250417P00132000,AAPL,2025-04-17,132.00,put,0.00,0.01,0.00,0,0.02,4,0,70,2025-04-17,2.59446,-0.00128,0.00016,-0.05638,0.00043,-0.00001
AAPL250417C00133000,AAPL,2025-04-17,133.00,call,63.42,63.50,61.90,1,65.10,105,4,8,2025-04-17,2.60656,1.00000,0.00000,-0.01578,0.00000,0.00364
AAPL250417P00133000,AAPL,2025-04-17,133.00,put,0.00,0.01,0.00,0,0.01,1,0,204,2025-04-17,2.54889,-0.00130,0.00016,-0.05623,0.00044,-0.00001
AAPL250417C00134000,AAPL,2025-04-17,134.00,call,62.34,63.30,62.50,68,64.10,105,4,6,2025-04-17,3.76364,0.98005,0.00125,-0.95285,0.00498,0.00355
AAPL250417P00134000,AAPL,2025-04-17,134.00,put,0.00,0.01,0.00,0,0.02,4,0,457,2025-04-17,2.50377,-0.00132,0.00017,-0.05612,0.00045,-0.00001
AAPL250417C00135000,AAPL,2025-04-17,135.00,call,61.81,61.95,61.45,90,62.45,66,8,72,2025-04-17,2.52508,1.00000,0.00000,-0.01601,0.00000,0.00370
AAPL250417P00135000,AAPL,2025-04-17,135.00,put,0.00,0.01,0.00,0,0.01,3001,0,7702,2025-04-17,2.45895,-0.00135,0.00017,-0.05601,0.00046,-0.00001
AAPL250417C00136000,AAPL,2025-04-17,136.00,call,60.93,61.80,60.60,55,63.00,10,4,32,2025-04-17,4.34595,0.95931,0.00195,-1.97265,0.00901,0.00348
AAPL250417P00136000,AAPL,2025-04-17,136.00,put,0.00,0.01,0.00,0,0.02,4,0,303,2025-04-17,2.41429,-0.00137,0.00018,-0.05586,0.00046,-0.00001
AAPL250417C00137000,AAPL,2025-04-17,137.00,call,59.61,60.17,59.40,98,60.95,105,4,12,2025-04-17,3.27905,0.98617,0.00104,-0.61269,0.00364,0.00367
AAPL250417P00137000,AAPL,2025-04-17,137.00,put,0.00,0.01,0.00,0,0.01,120,0,457,2025-04-17,2.37008,-0.00139,0.00019,-0.05575,0.00047,-0.00001
AAPL250417C00138000,AAPL,2025-04-17,138.00,call,58.95,59.12,58.00,105,60.25,105,4,12,2025-04-17,3.06991,0.98915,0.00090,-0.46893,0.00295,0.00372
AAPL250417P00138000,AAPL,2025-04-17,138.00,put,0.00,0.01,0.00,0,0.01,22,0,126,2025-04-17,2.32603,-0.00142,0.00019,-0.05561,0.00048,-0.00001
AAPL250417C00139000,AAPL,2025-04-17,139.00,call,56.20,57.83,56.60,105,59.05,105,0,65,2025-04-17,2.36212,1.00000,0.00000,-0.01649,0.00000,0.00381
AAPL250417P00139000,AAPL,2025-04-17,139.00,put,0.01,0.01,0.00,0,0.02,4,20,581,2025-04-17,2.28228,-0.00145,0.00020,-0.05547,0.00049,-0.00001
AAPL250417C00140000,AAPL,2025-04-17,140.00,call,56.68,57.00,56.00,105,58.00,105,4,233,2025-04-17,2.04478,0.99941,0.00010,-0.03833,0.00021,0.00383
AAPL250417P00140000,AAPL,2025-04-17,140.00,put,0.01,0.01,0.00,0,0.01,2222,2,9805,2025-04-17,2.23883,-0.00147,0.00021,-0.05534,0.00049,-0.00001
AAPL250417C00141000,AAPL,2025-04-17,141.00,call,55.70,56.15,55.25,105,57.05,105,4,13,2025-04-17,2.99415,0.98653,0.00112,-0.54909,0.00356,0.00379
AAPL250417P00141000,AAPL,2025-04-17,141.00,put,0.00,0.01,0.00,0,0.02,4,0,1132,2025-04-17,2.19569,-0.00150,0.00022,-0.05521,0.00050,-0.00001
AAPL250417C00142000,AAPL,2025-04-17,142.00,call,54.31,54.83,53.55,105,56.10,105,4,14,2025-04-17,2.23989,1.00000,0.00000,-0.01684,0.00000,0.00389
AAPL250417P00142000,AAPL,2025-04-17,142.00,put,0.01,0.01,0.00,0,0.01,21,1,399,2025-04-17,2.15271,-0.00153,0.00022,-0.05506,0.00051,-0.00001
AAPL250417C00143000,AAPL,2025-04-17,143.00,call,53.28,53.88,52.60,105,55.15,105,4,25,2025-04-17,2.19915,1.00000,0.00000,-0.01696,0.00000,0.00392
AAPL250417P00143000,AAPL,2025-04-17,143.00,put,0.01,0.01,0.00,0,0.01,21,10,1567,2025-04-17,2.11002,-0.00156,0.00023,-0.05491,0.00052,-0.00001
AAPL250417C00144000,AAPL,2025-04-17,144.00,call,52.27,53.25,52.35,97,54.15,105,4,34,2025-04-17,3.05345,0.97937,0.00158,-0.79911,0.00513,0.00383
AAPL250417P00144000,AAPL,2025-04-17,144.00,put,0.00,0.01,0.00,0,0.01,23,0,337,2025-04-17,2.06765,-0.00159,0.00024,-0.05478,0.00053,-0.00001
AAPL250417C00145000,AAPL,2025-04-17,145.00,call,48.40,52.22,51.55,58,52.90,105,0,408,2025-04-17,2.93485,0.98086,0.00154,-0.72229,0.00481,0.00386
AAPL250417P00145000,AAPL,2025-04-17,145.00,put,0.01,0.01,0.00,0,0.01,1392,310,14910,2025-04-17,2.02542,-0.00162,0.00025,-0.05462,0.00054,-0.00001
AAPL250417C00146000,AAPL,2025-04-17,146.00,call,50.31,50.88,50.35,98,51.40,66,4,30,2025-04-17,2.07693,1.00000,0.00000,-0.01732,0.00000,0.00400
AAPL250417P00146000,AAPL,2025-04-17,146.00,put,0.00,0.01,0.00,0,0.01,51,0,8662,2025-04-17,1.98350,-0.00165,0.00026,-0.05447,0.00055,-0.00001
AAPL250417C00147000,AAPL,2025-04-17,147.00,call,54.90,50.25,49.30,105,51.20,105,0,73,2025-04-17,2.87860,0.97823,0.00175,-0.78882,0.00536,0.00390
AAPL250417P00147000,AAPL,2025-04-17,147.00,put,0.01,0.01,0.00,0,0.01,117,1,887,2025-04-17,1.94174,-0.00169,0.00027,-0.05430,0.00056,-0.00001
AAPL250417C00148000,AAPL,2025-04-17,148.00,call,49.53,49.30,48.35,97,50.25,105,0,29,2025-04-17,2.90772,0.97473,0.00197,-0.90105,0.00608,0.00391
AAPL250417P00148000,AAPL,2025-04-17,148.00,put,0.01,0.01,0.00,0,0.01,81,10,478,2025-04-17,1.90027,-0.00172,0.00028,-0.05414,0.00057,-0.00001
AAPL250417C00149000,AAPL,2025-04-17,149.00,call,49.32,47.92,47.45,89,48.40,66,3,24,2025-04-17,1.95471,1.00000,0.00000,-0.01767,0.00000,0.00408
AAPL250417P00149000,AAPL,2025-04-17,149.00,put,0.01,0.01,0.00,0,0.01,25,1,448,2025-04-17,1.85912,-0.00176,0.00029,-0.05400,0.00058,-0.00001
AAPL250417C00150000,AAPL,2025-04-17,150.00,call,46.90,47.00,45.00,100,49.00,100,29,490,2025-04-17,1.60196,0.99950,0.00011,-0.03235,0.00018,0.00411
AAPL250417P00150000,AAPL,2025-04-17,150.00,put,0.01,0.01,0.00,0,0.01,3000,7,9843,2025-04-17,1.81811,-0.00180,0.00031,-0.05384,0.00059,-0.00001
AAPL250417C00152500,AAPL,2025-04-17,152.50,call,43.68,44.70,43.80,105,45.60,105,1,86,2025-04-17,2.47358,0.97944,0.00194,-0.64951,0.00511,0.00406
AAPL250417P00152500,AAPL,2025-04-17,152.50,put,0.01,0.01,0.00,0,0.01,526,2,1689,2025-04-17,1.71644,-0.00190,0.00034,-0.05340,0.00062,-0.00001
AAPL250417C00155000,AAPL,2025-04-17,155.00,call,41.93,42.10,40.30,105,43.90,105,2,380,2025-04-17,2.10835,0.98706,0.00153,-0.38038,0.00344,0.00417
AAPL250417P00155000,AAPL,2025-04-17,155.00,put,0.01,0.01,0.00,0,0.01,448,2,4585,2025-04-17,1.61613,-0.00201,0.00038,-0.05295,0.00066,-0.00001
AAPL250417C00157500,AAPL,2025-04-17,157.50,call,41.15,39.88,39.05,63,40.70,105,0,193,2025-04-17,2.46505,0.96399,0.00311,-1.02288,0.00815,0.00411
AAPL250417P00157500,AAPL,2025-04-17,157.50,put,0.01,0.01,0.00,0,0.01,372,53,2829,2025-04-17,1.51705,-0.00213,0.00043,-0.05248,0.00069,-0.00001
