contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,gamma,theta,vega,rho
AAPL250417C00100000,AAPL,2025-04-17,100.0,call,105.7,97.17,96.5,72,97.85,105,0,14,2025-04-17,5.76039,0.00038,-0.67734,0.00231,0.00269
AAPL250417P00100000,AAPL,2025-04-17,100.0,put,0.01,0.01,0.0,0,0.01,2260,10,6803,2025-04-17,4.24976,6e-05,-0.0594,0.00028,-0.0
AAPL250417C00110000,AAPL,2025-04-17,110.0,call,86.68,86.92,85.6,105,88.25,1,378,582,2025-04-17,3.54358,0.0,-0.01305,0.0,0.00301
AAPL250417P00110000,AAPL,2025-04-17,110.0,put,0.01,0.01,0.0,0,0.01,1494,25,11325,2025-04-17,3.68422,8e-05,-0.05859,0.00032,-1e-05
AAPL250417C00115000,AAPL,2025-04-17,115.0,call,81.67,81.92,81.5,74,82.35,63,4,57,2025-04-17,3.33988,0.0,-0.01364,0.0,0.00315
AAPL250417P00115000,AAPL,2025-04-17,115.0,put,0.01,0.01,0.0,0,0.01,1195,15,4750,2025-04-17,3.41975,9e-05,-0.05815,0.00034,-1e-05
AAPL250417C00116000,AAPL,2025-04-17,116.0,call,79.82,81.3,80.6,55,82.0,105,2,12,2025-04-17,4.98313,0.00075,-1.0056,0.00398,0.00309
AAPL250417P00116000,AAPL,2025-04-17,116.0,put,0.0,0.01,0.0,0,0.01,500,0,351,2025-04-17,3.36823,0.0001,-0.05807,0.00034,-1e-05
AAPL250417C00117000,AAPL,2025-04-17,117.0,call,80.44,79.75,78.65,100,80.85,105,7,8,2025-04-17,3.2584,0.0,-0.01388,0.0,0.00321
AAPL250417P00117000,AAPL,2025-04-17,117.0,put,0.0,0.01,0.0,0,0.01,500,0,151,2025-04-17,3.31701,0.0001,-0.05797,0.00035,-1e-05
AAPL250417C00118000,AAPL,2025-04-17,118.0,call,78.6,79.3,78.45,90,80.15,105,4,5,2025-04-17,4.83953,0.00079,-1.00034,0.00408,0.00314
AAPL250417P00118000,AAPL,2025-04-17,118.0,put,0.0,0.01,0.0,0,0.01,500,0,44,2025-04-17,3.26625,0.0001,-0.05788,0.00035,-1e-05
AAPL250417C00119000,AAPL,2025-04-17,119.0,call,87.72,78.33,77.45,81,79.2,100,0,11,2025-04-17,4.83907,0.00085,-1.0726,0.00438,0.00316
AAPL250417P00119000,AAPL,2025-04-17,119.0,put,0.0,0.01,0.0,0,0.01,500,0,190,2025-04-17,3.21579,0.00011,-0.05776,0.00036,-1e-05
AAPL250417C00120000,AAPL,2025-04-17,120.0,call,76.82,77.28,76.35,96,78.2,105,62,151,2025-04-17,4.64929,0.00081,-0.9441,0.004,0.0032
AAPL250417P00120000,AAPL,2025-04-17,120.0,put,0.0,0.01,0.0,0,0.01,900,0,2806,2025-04-17,3.16579,0.00011,-0.05766,0.00036,-1e-05
AAPL250417C00121000,AAPL,2025-04-17,121.0,call,75.5,75.95,75.5,78,76.4,66,5,11,2025-04-17,3.09544,0.0,-0.01435,0.0,0.00331
AAPL250417P00121000,AAPL,2025-04-17,121.0,put,0.0,0.01,0.0,0,0.01,500,0,125,2025-04-17,3.11625,0.00011,-0.05757,0.00037,-1e-05
AAPL250417C00122000,AAPL,2025-04-17,122.0,call,73.31,74.88,74.45,81,75.3,64,4,13,2025-04-17,3.0547,0.0,-0.01447,0.0,0.00334
AAPL250417P00122000,AAPL,2025-04-17,122.0,put,0.0,0.01,0.0,0,0.02,4,0,93,2025-04-17,3.06701,0.00011,-0.05746,0.00037,-1e-05
AAPL250417C00123000,AAPL,2025-04-17,123.0,call,72.38,74.3,73.4,95,75.2,105,4,17,2025-04-17,4.49,0.00091,-0.98651,0.00433,0.00327
AAPL250417P00123000,AAPL,2025-04-17,123.0,put,0.0,0.01,0.0,0,0.01,21,0,2077,2025-04-17,3.01823,0.00012,-0.05737,0.00038,-1e-05
AAPL250417C00124000,AAPL,2025-04-17,124.0,call,82.72,72.88,72.45,89,73.3,52,0,4,2025-04-17,2.97322,0.0,-0.01471,0.0,0.0034
AAPL250417P00124000,AAPL,2025-04-17,124.0,put,0.0,0.01,0.0,0,0.02,4,0,359,2025-04-17,2.96976,0.00012,-0.05726,0.00039,-1e-05
AAPL250417C00125000,AAPL,2025-04-17,125.0,call,73.28,71.95,70.8,105,73.1,105,6,144,2025-04-17,2.93248,0.0,-0.01483,0.0,0.00342
AAPL250417P00125000,AAPL,2025-04-17,125.0,put,0.01,0.01,0.0,0,0.01,751,1,5466,2025-04-17,2.92159,0.00013,-0.05714,0.00039,-1e-05
AAPL250417C00126000,AAPL,2025-04-17,126.0,call,70.19,71.38,70.45,103,72.3,105,4,13,2025-04-17,4.45174,0.0011,-1.16999,0.00519,0.00333
AAPL250417P00126000,AAPL,2025-04-17,126.0,put,0.0,0.01,0.0,0,0.01,22,0,824,2025-04-17,2.87388,0.00013,-0.05704,0.0004,-1e-05
AAPL250417C00127000,AAPL,2025-04-17,127.0,call,68.97,70.28,69.45,89,71.1,105,4,12,2025-04-17,4.17461,0.00098,-0.92502,0.00436,0.00338
AAPL250417P00127000,AAPL,2025-04-17,127.0,put,0.0,0.01,0.0,0,0.01,3,0,275,2025-04-17,2.82647,0.00013,-0.05693,0.0004,-1e-05
AAPL250417C00128000,AAPL,2025-04-17,128.0,call,68.31,68.93,68.4,98,69.45,70,4,11,2025-04-17,2.81026,0.0,-0.01518,0.0,0.00351
AAPL250417P00128000,AAPL,2025-04-17,128.0,put,0.0,0.01,0.0,0,0.01,21,0,297,2025-04-17,2.77937,0.00014,-0.05682,0.00041,-1e-05
AAPL250417C00129000,AAPL,2025-04-17,129.0,call,67.1,67.85,66.7,105,69.0,105,4,38,2025-04-17,2.76952,0.0,-0.0153,0.0,0.00353
AAPL250417P00129000,AAPL,2025-04-17,129.0,put,0.0,0.01,0.0,0,0.02,4,0,280,2025-04-17,2.73272,0.00014,-0.05672,0.00042,-1e-05
AAPL250417C00130000,AAPL,2025-04-17,130.0,call,67.45,66.65,65.45,105,67.85,105,9,205,2025-04-17,2.72878,0.0,-0.01542,0.0,0.00356
AAPL250417P00130000,AAPL,2025-04-17,130.0,put,0.01,0.01,0.0,0,0.01,6000,20,1744,2025-04-17,2.68623,0.00015,-0.05659,0.00042,-1e-05
AAPL250417C00131000,AAPL,2025-04-17,131.0,call,65.56,65.83,64.7,100,66.95,105,4,15,2025-04-17,2.68804,0.0,-0.01554,0.0,0.00359
AAPL250417P00131000,AAPL,2025-04-17,131.0,put,0.0,0.01,0.0,0,0.01,21,0,191,2025-04-17,2.64019,0.00015,-0.05649,0.00043,-1e-05
AAPL250417C00132000,AAPL,2025-04-17,132.0,call,64.47,65.15,64.5,81,65.8,105,4,17,2025-04-17,3.51456,0.00084,-0.56673,0.00314,0.00355
AAPL250417P00132000,AAPL,2025-04-17,132.0,put,0.0,0.01,0.0,0,0.02,4,0,70,2025-04-17,2.59446,0.00016,-0.05638,0.00043,-1e-05
AAPL250417C00133000,AAPL,2025-04-17,133.0,call,63.42,63.5,61.9,1,65.1,105,4,8,2025-04-17,2.60656,0.0,-0.01578,0.0,0.00364
AAPL250417P00133000,AAPL,2025-04-17,133.0,put,0.0,0.01,0.0,0,0.01,1,0,204,2025-04-17,2.54889,0.00016,-0.05623,0.00044,-1e-05
AAPL250417C00134000,AAPL,2025-04-17,134.0,call,62.34,63.3,62.5,68,64.1,105,4,6,2025-04-17,3.76364,0.00125,-0.95285,0.00498,0.00355
AAPL250417P00134000,AAPL,2025-04-17,134.0,put,0.0,0.01,0.0,0,0.02,4,0,457,2025-04-17,2.50377,0.00017,-0.05612,0.00045,-1e-05
AAPL250417C00135000,AAPL,2025-04-17,135.0,call,61.81,61.95,61.45,90,62.45,66,8,72,2025-04-17,2.52508,0.0,-0.01601,0.0,0.0037
