expiration;strike;type;mark;Vol_impli
2025-05-02;100.0;call;97.05;1.7407857258929234
2025-05-02;100.0;put;0.01;1.6070404430921301
2025-05-02;110.0;call;87.5;2.1968938132173887
2025-05-02;110.0;put;0.03;1.5420175948653716
2025-05-02;120.0;call;77.6;1.9686086188952188
2025-05-02;120.0;put;0.05;1.4014493945647124
2025-05-02;125.0;call;72.5;1.764145116057717
2025-05-02;125.0;put;0.07;1.3466158244656226
2025-05-02;130.0;call;67.18;1.3569497446077947
2025-05-02;130.0;put;0.09;1.2797815657427034
2025-05-02;135.0;call;62.25;1.319466807256283
2025-05-02;135.0;put;0.11;1.2058622614627479
2025-05-02;140.0;call;57.72;1.4829286598223754
2025-05-02;140.0;put;0.15;1.1503095811298978
2025-05-02;145.0;call;52.77;1.3743255983853144
2025-05-02;145.0;put;0.21;1.1000767289226736
2025-05-02;150.0;call;47.4;1.0842711572602282
2025-05-02;150.0;put;0.28;1.0421285901248913
2025-05-02;155.0;call;42.95;1.1815038419290322
2025-05-02;155.0;put;0.39;0.9922876064338529
2025-05-02;160.0;call;37.72;0.985716124307874
2025-05-02;160.0;put;0.54;0.941775958025843
2025-05-02;165.0;call;32.98;0.9390027858724754
2025-05-02;165.0;put;0.77;0.8976989434388019
2025-05-02;170.0;call;28.33;0.8912298392740624
2025-05-02;170.0;put;1.11;0.8573103904104485
2025-05-02;172.5;call;26.02;0.8618397344676482
2025-05-02;172.5;put;1.32;0.8354131755339601
2025-05-02;175.0;call;23.9;0.8585272141110408
2025-05-02;175.0;put;1.58;0.8155561244759386
2025-05-02;177.5;call;21.73;0.8376153978980626
2025-05-02;177.5;put;1.91;0.799148732032877
2025-05-02;180.0;call;19.5;0.801438819137754
2025-05-02;180.0;put;2.28;0.7800239376454755
2025-05-02;182.5;call;17.55;0.7944668555760468
2025-05-02;182.5;put;2.75;0.765306593601741
2025-05-02;185.0;call;15.5;0.7660012098943615
2025-05-02;185.0;put;3.25;0.7448399171218951
2025-05-02;187.5;call;13.6;0.7458606997274945
2025-05-02;187.5;put;3.85;0.7262520567845928
2025-05-02;190.0;call;11.8;0.7264869585519433
2025-05-02;190.0;put;4.55;0.7081032506509433
2025-05-02;192.5;call;10.27;0.7230156881572605
2025-05-02;192.5;put;5.4;0.6940665139403362
2025-05-02;195.0;call;8.62;0.6968186382803914
2025-05-02;195.0;put;6.35;0.678107270203685
2025-05-02;197.5;call;7.15;0.676088678396157
2025-05-02;197.5;put;7.42;0.6613874397038706
2025-05-02;200.0;call;5.88;0.6615669513151746
2025-05-02;200.0;put;8.65;0.6468729827205723
2025-05-02;202.5;call;4.72;0.6443886968053644
2025-05-02;202.5;put;10.0;0.6303390578123856
2025-05-02;205.0;call;3.7;0.6269146796433435
2025-05-02;205.0;put;11.4;0.6041773568498823
2025-05-02;207.5;call;2.92;0.6197142466189548
2025-05-02;207.5;put;13.15;0.5986022797958783
2025-05-02;210.0;call;2.25;0.6108179567056204
2025-05-02;210.0;put;14.93;0.5815510101247837
2025-05-02;212.5;call;1.69;0.6008698255408823
2025-05-02;212.5;put;17.02;0.5883310648548866
2025-05-02;215.0;call;1.27;0.5956991749062626
2025-05-02;215.0;put;19.05;0.5734032715644647
2025-05-02;217.5;call;0.95;0.5928884097794942
2025-05-02;217.5;put;21.12;0.5447674569742514
2025-05-02;220.0;call;0.7;0.5901341233001091
2025-05-02;220.0;put;23.43;0.5461891087861568
2025-05-02;225.0;call;0.4;0.5966320121020279
2025-05-02;225.0;put;28.15;0.5366245642787755
2025-05-02;230.0;call;0.24;0.6108086126162474
2025-05-02;235.0;call;0.15;0.6287917483277743
2025-05-02;240.0;call;0.1;0.6513988050913887
2025-05-02;240.0;put;43.0;0.6414613405655263
2025-05-02;245.0;call;0.07;0.6762531428159793
2025-05-02;245.0;put;47.92;0.5559203127379198
2025-05-02;250.0;call;0.07;0.7298671946420306
2025-05-02;250.0;put;53.0;0.7580376723361938
2025-05-02;255.0;call;0.04;0.7322667184344633
2025-05-02;255.0;put;58.02;0.8347523847690093
2025-05-02;260.0;call;0.03;0.7565403964926758
2025-05-02;260.0;put;63.25;1.045558405336497
2025-05-02;265.0;call;0.01;0.7222529321965356
2025-05-02;265.0;put;68.22;1.088726995857966
2025-05-02;270.0;call;0.01;0.7631135401305879
2025-05-02;270.0;put;73.05;1.0264324236161222
2025-05-02;275.0;call;0.01;0.8029945088758359
2025-05-02;275.0;put;78.07;1.0967931181255401
2025-05-02;280.0;call;0.01;0.841947394541455
2025-05-02;280.0;put;83.17;1.2243257562763774
2025-05-02;285.0;call;0.01;0.8800189566394386
2025-05-02;285.0;put;88.1;1.2246675453162927
2025-05-02;290.0;call;0.01;0.9172518558765825
2025-05-02;290.0;put;92.92;1.0212653978335242
2025-05-02;295.0;call;0.01;0.9536852117600945
2025-05-02;295.0;put;98.05;1.2771643879370234
2025-05-02;300.0;call;0.01;0.9893550551558128
2025-05-02;300.0;put;102.97;1.222360048346496
2025-05-02;305.0;call;0.01;1.0242947006492678
2025-05-02;305.0;put;108.28;1.5465453600721049
2025-05-02;310.0;call;0.01;1.0585350566541516
2025-05-02;310.0;put;113.25;1.5761023623003363
2025-05-02;315.0;call;0.01;1.092104886469192
2025-05-02;315.0;put;118.35;1.6826620059045725
2025-05-02;320.0;call;0.01;1.1250310301641429
2025-05-02;320.0;put;123.25;1.6689301753314927
2025-05-02;325.0;call;0.01;1.1573385947987436
2025-05-02;325.0;put;128.07;1.5682766741768037
2025-05-30;110.0;call;87.45;0.8774215103321864
2025-05-30;110.0;put;0.2;0.8648720425288395
2025-05-30;120.0;call;77.53;0.7859611660560312
2025-05-30;120.0;put;0.3;0.7948122989427722
2025-05-30;125.0;call;72.62;0.7580441344609158
2025-05-30;125.0;put;0.38;0.7656355073809835
2025-05-30;130.0;call;67.75;0.7361914599008679
2025-05-30;130.0;put;0.46;0.7316729905834229
2025-05-30;135.0;call;62.92;0.7160434460414103
2025-05-30;135.0;put;0.57;0.7014710474223791
2025-05-30;140.0;call;57.85;0.6406982493266712
2025-05-30;140.0;put;0.71;0.6726763102615407
2025-05-30;145.0;call;53.47;0.6857277019383913
2025-05-30;145.0;put;0.89;0.6454114400713687
2025-05-30;150.0;call;48.55;0.6336956988242625
2025-05-30;150.0;put;1.11;0.618017842078301
2025-05-30;155.0;call;43.52;0.5686445571089488
2025-05-30;155.0;put;1.4;0.5928338616922036
2025-05-30;160.0;call;39.83;0.6311841259666572
2025-05-30;160.0;put;1.78;0.5695701634457199
2025-05-30;165.0;call;34.38;0.5280619029844676
2025-05-30;165.0;put;2.27;0.5476219393871159
2025-05-30;170.0;call;30.55;0.5460403123112639
2025-05-30;170.0;put;2.89;0.5263020548239398
2025-05-30;175.0;call;26.38;0.5250308938022569
2025-05-30;175.0;put;3.72;0.5084701325311789
2025-05-30;180.0;call;22.42;0.5053514869113636
2025-05-30;180.0;put;4.67;0.4865508519866021
2025-05-30;185.0;call;18.68;0.4854707584849155
2025-05-30;185.0;put;5.92;0.4684877912737793
2025-05-30;190.0;call;15.07;0.4598703667221146
2025-05-30;190.0;put;7.45;0.4506833281927553
2025-05-30;195.0;call;11.95;0.4426210054905105
2025-05-30;195.0;put;9.3;0.43306849141320747
2025-05-30;200.0;call;9.15;0.4242530683285461
2025-05-30;200.0;put;11.57;0.41815769089674054
2025-05-30;205.0;call;6.78;0.4080579276066856
2025-05-30;205.0;put;14.18;0.40142350057826104
2025-05-30;210.0;call;4.85;0.3939191783669258
2025-05-30;210.0;put;17.25;0.3872959131871392
2025-05-30;215.0;call;3.33;0.3809944082199325
2025-05-30;215.0;put;20.73;0.3740791335969493
2025-05-30;220.0;call;2.21;0.3706218403763385
2025-05-30;220.0;put;25.33;0.4055735771142259
2025-05-30;225.0;call;1.47;0.3661459111040426
